"ID" "XGAUGE" "YGAUGE" "XCENT" "YCENT" "AREA" "River" "Station" "ME_MAX" "igroup.best" "TRAIN"
"93" 583120 4312664.02941549 2723310.94383453 4647864.50302 3120672.28202 195 "Loebauer Wasser" "Groeditz" 0.423307807336205 1 FALSE
"237" 23770507 3862660.24679833 2502005.74551719 4169277.25922 2904350.45085 196 "Queich" "SIEBELDINGEN" 0.487806239922927 1 FALSE
"241" 23920600 3873721.61665561 2547645.11972295 4178225.80091 2947540.51036 196 "Pfrimm" "MONSHEIM" 0.440324905818415 1 FALSE
"341" 27687750 3832795.43784087 2730146.68328145 4151040.31581 3124928.49721 197 "Volme" "HAGEN-AMBROCK" 0.600578120779064 1 FALSE
"216" 17345002 4240205.58890527 2443376.71137027 4563828.28311 2851294.05113 197.73 "Gaißa" "Hörmannsberg" 0.509195614088354 1 TRUE
"162" 6342820 4239891.09743844 2443763.33824596 4563828.57773 2851293.51542 197.74 "Gaissa" "HOERMANNSBERG" 0.70779474294351 1 FALSE
"51" 550940 4261603.01646611 2694668.77983749 4588826.20016 3085095.05696 198 "Müglitz" "DOHN" 0.470800839188874 1 TRUE
"85" 575400 4054343.36059599 2743095.36882399 4363500.34113 3157402.19725 201 "Helme" "SUNDHAUSEN" 0.606989462421924 1 FALSE
"65" 567850 4210233.38828704 2657269.41144332 4541827.61919 3050022.25459 206 "Preßnitz" "STRECKEWALD" 0.546431802526671 1 FALSE
"301" 25860851 3885725.26411836 2635436.64746675 4208076.40157 3028317.66801 206.2 "Weil" "ESSERSHAUSEN" 0.639524332744314 1 FALSE
"183" 13322200 3783196.75015802 2526281.29867518 4103975.35683 2928452.44242 207.2 "Theel" "LEBACH" 0.627459556264441 1 FALSE
"137" 6335730 3843623.66255591 2340242.96642609 4164858.0458 2744178.26464 207.87 "Wise" "ZELL" 0.676030083814454 1 FALSE
"139" 6335820 4096810.74650564 2518281.37682076 4426663.34427 2915286.47513 208.47 "Schwarzach" "RASCH" 0.691289320877697 1 FALSE
"52" 552210 4218978.0361092 2731282.61866087 4534897.91186 3132408.29484 210 "Döllnitz" "MERZDOR" 0.482180359029409 1 FALSE
"42" 426000 4005459.46343031 2673515.68033575 4330528.9666 3063596.13295 214 "Felda" "DORNDORF 2" 0.75320309871068 1 TRUE
"304" 25890306 3852506.64827717 2621886.82163315 4168488.86825 3038177.69363 214.6 "Gelbach" "WEINAEHR" 0.713149832632205 1 FALSE
"210" 16658002 4098116.12402816 2398336.17619487 4409698.70723 2788472.67394 217.75 "Maisach" "Bergkirchen" 0.526920880986157 1 FALSE
"324" 27240301 3846712.75693701 2663655.07689412 4174310.26357 3063287.59952 217.9 "Nister" "HEIMBORN" 0.723151453415894 1 TRUE
"326" 27288930 3809519.60709234 2686580.0403114 4132319.23042 3104942.91558 219 "Sülz" "HOFFNUNGSTHA" 0.821798631977993 1 FALSE
"381" 42883558 3957025.04153456 2700395.20865699 4279894.09621 3096320.49472 220 "Efze" "HEBEL" 0.75272329468726 1 TRUE
"50" 550810 4270832.70414685 2702242.22371612 4610506.89414 3116002.68353 227 "Wesenitz" "ELBERSDORF" 0.517471646242086 1 FALSE
