"date" "event_type" "event_count" "Qduration" "t2pd" "peak" "temp.cv" "Pmax.vol.ratio" "space_cv" "mean_RM_ant" "ant_sm" "space_cv_sm" "cov_SM_RM_ts_mean" "snow.cover.cov" "volumeP" "volumeR" "volumeM" "frozen.cover.cov"
"5266" 1994-03-01 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5267" 1994-03-02 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5268" 1994-03-03 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5269" 1994-03-04 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5270" 1994-03-05 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5271" 1994-03-06 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5272" 1994-03-07 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5273" 1994-03-08 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5274" 1994-03-09 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5275" 1994-03-10 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
